Nº DE INSCRICIÓN; TIPO ENTIDADE; NOME; ENDEREZO; CÓD. POSTAL; CÓDIGO DE PROVINCIA; PROVINCIA; CÓDIGO DE CONCELLO; CONCELLO; TELÉFONO; DATA DE ALTA; TIPO_MODALIDADE; MODALIDADE; TIPO_ESPECIALIDADE; ESPECIALIDADE
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;57;XOQUEI;0;;
C-04499;CLUBE DEPORTIVO;A. GALEGA DE MERGULLO D. (ASOGAMEDE);ROSALIA DE CASTRO, 38;15895;15;A CORUÑA;15002;AMES;981-531293;08/11/1994;0;DEPORTE EN XERAL OU NO INDICADO;45;FOTOGRAFIA;
C-04499;CLUBE DEPORTIVO;A. GALEGA DE MERGULLO D. (ASOGAMEDE);ROSALIA DE CASTRO, 38;15895;15;A CORUÑA;15002;AMES;981-531293;08/11/1994;0;DEPORTE EN XERAL OU NO INDICADO;101;VIDEO E FOTOGRAFIA;
C-04499;CLUBE DEPORTIVO;A. GALEGA DE MERGULLO D. (ASOGAMEDE);ROSALIA DE CASTRO, 38;15895;15;A CORUÑA;15002;AMES;981-531293;08/11/1994;1;ACTIVIDADES SUBACUÁTICAS;108;BUCEO;
C-06527;CLUBE DEPORTIVO;A.D. IES DE AMES;PEREGRINA S/N;15220;15;A CORUÑA;15002;AMES;981891589;24/02/2000;2;ATLETISMO;0;;
C-06527;CLUBE DEPORTIVO;A.D. IES DE AMES;PEREGRINA S/N;15220;15;A CORUÑA;15002;AMES;981891589;24/02/2000;4;BÁDMINTON;0;;
C-06527;CLUBE DEPORTIVO;A.D. IES DE AMES;PEREGRINA S/N;15220;15;A CORUÑA;15002;AMES;981891589;24/02/2000;5;BALONCESTO;0;;
C-06527;CLUBE DEPORTIVO;A.D. IES DE AMES;PEREGRINA S/N;15220;15;A CORUÑA;15002;AMES;981891589;24/02/2000;18;DEPORTES DE INVERNO;0;;
C-06527;CLUBE DEPORTIVO;A.D. IES DE AMES;PEREGRINA S/N;15220;15;A CORUÑA;15002;AMES;981891589;24/02/2000;24;FÚTBOL;0;;
C-06527;CLUBE DEPORTIVO;A.D. IES DE AMES;PEREGRINA S/N;15220;15;A CORUÑA;15002;AMES;981891589;24/02/2000;33;MONTAÑISMO;195;SENDERISMO;
